iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,77.9276,14.3127,147.00,157.00,167.36,156.32,0.8374,0,centroids differ by 11.0 km
2,77.9507,14.2788,169.00,153.00,175.85,153.47,0.5680,0,correlation 0.57 <= 0.7
2,77.9286,14.2130,157.00,131.00,175.15,156.64,0.6359,0,correlation 0.64 <= 0.7
2,77.8648,14.2208,137.00,177.00,160.21,160.15,0.6501,0,correlation 0.65 <= 0.7
2,77.9473,14.3140,157.00,155.00,171.94,153.36,0.7119,0,centroids differ by 18.6 km
2,77.9375,14.3156,149.00,155.00,169.10,154.57,0.8028,0,centroids differ by 14.5 km
2,77.8976,14.2980,139.00,137.00,161.89,159.27,0.7170,0,centroids differ by 2.6 km
2,77.8966,14.2459,145.00,163.00,165.69,158.86,0.7515,0,centroids differ by 6.8 km
2,77.8563,14.3112,123.00,177.00,153.50,161.81,0.2922,0,correlation 0.29 <= 0.7
2,77.6801,13.5830,139.00,149.00,173.10,163.07,0.5992,0,correlation 0.60 <= 0.7
2,77.7323,13.6771,157.00,147.00,177.08,159.08,0.5162,0,correlation 0.52 <= 0.7
2,77.7268,13.7077,155.00,149.00,173.70,159.89,0.5661,0,correlation 0.57 <= 0.7
2,77.7051,13.5728,157.00,147.00,179.45,161.78,0.5905,0,correlation 0.59 <= 0.7
2,77.6915,13.6821,133.00,151.00,168.29,161.89,0.4638,0,correlation 0.46 <= 0.7
2,77.7420,13.5983,171.00,143.00,184.53,159.03,0.3413,0,correlation 0.34 <= 0.7
2,77.6877,13.6152,137.00,149.00,172.82,162.93,0.5895,0,correlation 0.59 <= 0.7
2,77.6853,13.5698,137.00,147.00,175.74,162.74,0.6018,0,correlation 0.60 <= 0.7
2,77.7328,13.7101,155.00,147.00,174.62,159.53,0.5710,0,correlation 0.57 <= 0.7
2,77.7356,13.6490,157.00,147.00,180.01,158.66,0.4617,0,correlation 0.46 <= 0.7
2,77.6798,13.5770,139.00,149.00,173.49,163.04,0.6031,0,correlation 0.60 <= 0.7
2,77.6958,13.6130,135.00,147.00,175.09,162.46,0.6139,0,correlation 0.61 <= 0.7
2,77.6794,13.7113,115.00,153.00,162.02,162.60,0.3827,0,correlation 0.38 <= 0.7
2,77.7609,13.5737,173.00,141.00,188.03,157.77,0.0073,0,correlation 0.01 <= 0.7
2,77.6704,13.7024,110.69,153.00,161.06,163.42,0.3192,0,correlation 0.32 <= 0.7
2,77.7047,13.6067,155.00,147.00,177.26,161.91,0.6134,0,correlation 0.61 <= 0.7
2,77.6852,13.5764,137.00,147.00,175.25,162.75,0.6020,0,correlation 0.60 <= 0.7
2,77.7163,13.6584,151.00,149.00,175.61,160.07,0.5309,0,correlation 0.53 <= 0.7
2,77.7602,13.6992,165.00,143.00,181.78,158.90,0.4228,0,correlation 0.42 <= 0.7
2,77.7403,13.6197,157.00,145.00,182.83,158.64,0.3909,0,correlation 0.39 <= 0.7
2,77.7056,13.6167,155.00,145.00,176.76,161.68,0.6062,0,correlation 0.61 <= 0.7
2,77.6882,13.6041,137.00,149.00,173.91,162.80,0.5981,0,correlation 0.60 <= 0.7
2,77.7401,13.6114,159.00,146.00,183.31,158.90,0.3882,0,correlation 0.39 <= 0.7
2,77.7238,13.5749,165.00,143.00,182.48,160.89,0.5214,0,correlation 0.52 <= 0.7
2,77.7416,13.6405,157.00,145.00,181.73,158.44,0.4065,0,correlation 0.41 <= 0.7
2,77.6740,13.6160,139.00,151.00,168.16,163.71,0.5668,0,correlation 0.57 <= 0.7
2,77.6869,13.5896,137.00,149.00,174.67,162.74,0.6073,0,correlation 0.61 <= 0.7
2,77.7015,13.6731,131.00,149.00,171.86,161.27,0.5242,0,correlation 0.52 <= 0.7
2,77.7162,13.6987,149.00,151.00,172.97,160.03,0.5212,0,correlation 0.52 <= 0.7
2,77.7265,13.6858,157.00,149.00,175.08,159.47,0.5382,0,correlation 0.54 <= 0.7
2,77.7258,13.5851,163.00,143.00,182.26,160.64,0.5173,0,correlation 0.52 <= 0.7
2,77.7239,13.7018,157.00,149.00,173.74,159.91,0.5499,0,correlation 0.55 <= 0.7
