iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.1298,15.6748,93.00,126.33,143.58,153.26,0.4749,0,correlation 0.47 <= 0.7
2,78.1454,15.5870,114.04,140.00,149.46,152.72,0.6989,0,correlation 0.70 <= 0.7
2,78.1199,15.6512,91.83,155.00,141.89,152.61,0.4561,0,correlation 0.46 <= 0.7
2,78.1549,15.6511,120.00,115.00,149.24,151.71,0.7093,1,
2,78.1582,15.6192,117.00,135.93,148.67,152.40,0.6193,0,correlation 0.62 <= 0.7
2,78.1512,15.5626,126.10,122.52,151.25,152.11,0.7131,1,
2,78.0991,15.5944,89.00,167.69,142.21,154.15,0.2816,0,correlation 0.28 <= 0.7
2,78.0773,15.5801,84.00,142.27,150.82,155.71,0.0449,0,correlation 0.04 <= 0.7
2,78.1406,15.6815,96.37,123.00,148.49,154.23,0.3128,0,correlation 0.31 <= 0.7
2,78.1159,15.6332,83.00,159.00,141.33,153.54,0.2635,0,correlation 0.26 <= 0.7
