iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.6849,16.4852,163.00,80.00,175.42,158.90,-0.4626,0,correlation -0.46 <= 0.7
2,78.6263,16.3504,151.00,80.00,169.97,159.79,-0.1995,0,correlation -0.20 <= 0.7
2,78.6788,16.4568,161.00,80.00,174.98,158.94,-0.3560,0,correlation -0.36 <= 0.7
2,78.6455,16.4110,157.00,80.00,171.98,159.69,0.0193,0,correlation 0.02 <= 0.7
2,78.7014,16.3591,169.00,85.00,177.05,160.19,-0.6361,0,correlation -0.64 <= 0.7
2,78.6850,16.3946,165.00,82.00,175.63,158.96,-0.4124,0,correlation -0.41 <= 0.7
2,78.6373,16.3968,167.00,80.00,171.15,159.53,-0.0689,0,correlation -0.07 <= 0.7
2,78.7037,16.3762,169.00,85.00,177.19,160.46,-0.6879,0,correlation -0.69 <= 0.7
2,78.6124,16.3838,149.00,117.00,168.54,159.79,-0.2036,0,correlation -0.20 <= 0.7
2,78.6284,16.4026,153.00,80.00,170.24,159.74,-0.1633,0,correlation -0.16 <= 0.7
2,78.6341,16.4840,153.00,80.00,170.91,159.73,-0.0646,0,correlation -0.06 <= 0.7
2,78.6831,16.4085,165.00,82.00,175.44,158.95,-0.3896,0,correlation -0.39 <= 0.7
2,78.6625,16.4822,159.00,80.00,173.53,159.86,-0.0858,0,correlation -0.09 <= 0.7
2,78.6563,16.3442,159.00,80.00,173.01,159.75,0.0046,0,correlation 0.00 <= 0.7
2,78.6321,16.3496,153.00,80.00,170.58,159.59,-0.1538,0,correlation -0.15 <= 0.7
2,78.6855,16.3438,165.00,80.00,175.77,159.02,-0.3919,0,correlation -0.39 <= 0.7
2,78.6216,16.4395,149.00,80.00,169.61,159.90,-0.2113,0,correlation -0.21 <= 0.7
2,78.6346,16.3727,153.00,80.00,170.85,159.52,-0.1133,0,correlation -0.11 <= 0.7
2,78.6905,16.4261,167.00,80.00,176.02,159.16,-0.5089,0,correlation -0.51 <= 0.7
2,78.6550,16.4589,155.00,80.00,172.92,159.95,0.0204,0,correlation 0.02 <= 0.7
2,78.6976,16.3894,169.00,85.00,176.67,159.79,-0.5899,0,correlation -0.59 <= 0.7
2,78.6701,16.3765,161.00,80.00,174.33,159.60,-0.1632,0,correlation -0.16 <= 0.7
2,78.6888,16.4485,167.00,80.00,175.83,159.05,-0.4983,0,correlation -0.50 <= 0.7
2,78.6286,16.4110,151.00,80.00,170.28,159.74,-0.1582,0,correlation -0.16 <= 0.7
2,78.6415,16.3620,155.00,80.00,171.55,159.45,-0.0458,0,correlation -0.05 <= 0.7
2,78.6476,16.3528,167.00,80.00,172.15,159.58,0.0035,0,correlation 0.00 <= 0.7
2,78.6593,16.4502,157.00,80.00,173.31,159.91,-0.0237,0,correlation -0.02 <= 0.7
2,78.6571,16.4687,157.00,80.00,173.10,159.97,-0.0027,0,correlation -0.00 <= 0.7
2,78.6921,16.4732,165.00,87.00,176.04,159.32,-0.5603,0,correlation -0.56 <= 0.7
2,78.6272,16.4162,149.00,80.00,170.14,159.78,-0.1705,0,correlation -0.17 <= 0.7
2,78.6950,16.3627,167.00,85.00,176.54,159.51,-0.5404,0,correlation -0.54 <= 0.7
2,78.6988,16.3735,169.00,85.00,176.81,159.91,-0.6010,0,correlation -0.60 <= 0.7
2,78.6174,16.4077,147.00,80.00,169.11,159.89,-0.2232,0,correlation -0.22 <= 0.7
2,78.6108,16.4674,147.00,119.00,168.54,159.98,-0.2009,0,correlation -0.20 <= 0.7
