iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.4930,9.7094,125.00,127.00,151.95,163.28,0.9308,0,centroids differ by 11.3 km
2,78.5075,9.6615,125.00,135.00,152.69,163.69,0.8302,0,centroids differ by 11.0 km
2,78.5435,9.6814,123.00,185.00,153.57,164.53,0.5552,0,correlation 0.56 <= 0.7
2,78.4827,9.6676,127.00,133.00,152.03,163.78,0.9350,0,centroids differ by 11.8 km
2,78.5502,9.6642,124.00,185.00,153.90,164.75,0.4765,0,correlation 0.48 <= 0.7
2,78.5349,9.6074,125.00,193.00,153.82,164.83,0.4423,0,correlation 0.44 <= 0.7
2,78.5461,9.5804,123.00,188.00,154.30,165.21,0.2561,0,correlation 0.26 <= 0.7
2,78.5116,9.6543,125.00,151.00,152.87,164.01,0.7651,0,centroids differ by 11.1 km
2,78.5243,9.7872,121.00,135.00,152.32,163.51,0.8529,0,centroids differ by 11.2 km
2,78.5398,9.7402,121.00,128.00,153.07,164.16,0.7220,0,centroids differ by 11.1 km
2,78.5778,9.7329,125.00,137.00,154.24,165.48,0.4558,0,correlation 0.46 <= 0.7
2,78.5723,9.7569,128.03,139.00,153.92,164.73,0.5864,0,correlation 0.59 <= 0.7
2,78.5283,9.8198,119.00,139.00,152.20,163.40,0.8575,0,centroids differ by 11.2 km
2,78.5724,9.7461,127.53,139.00,153.99,164.88,0.5594,0,correlation 0.56 <= 0.7
2,78.5457,9.8631,121.00,119.00,152.47,163.36,0.7987,0,centroids differ by 10.9 km
2,78.5315,9.7569,121.00,125.00,152.71,164.02,0.7918,0,centroids differ by 11.3 km
2,78.5027,9.8521,121.00,121.00,151.25,163.53,0.8628,0,centroids differ by 12.3 km
2,78.5366,9.8585,119.00,147.52,152.20,163.32,0.8451,0,centroids differ by 11.1 km
2,78.4880,9.7789,128.00,127.00,151.30,164.46,0.7955,0,centroids differ by 13.2 km
2,78.5349,9.8686,119.00,145.00,152.08,163.20,0.8558,0,centroids differ by 11.1 km
2,78.5668,9.8291,123.00,166.49,153.26,163.75,0.6948,0,correlation 0.69 <= 0.7
2,78.5217,9.8452,119.00,127.00,151.84,162.98,0.8435,0,NYA peak not clear against upper and lower means
2,78.5842,9.7239,125.00,141.00,154.46,166.36,0.2995,0,correlation 0.30 <= 0.7
2,78.4895,9.8167,123.00,127.00,151.05,164.77,0.7199,0,centroids differ by 13.7 km
2,78.5791,9.7316,125.00,137.00,154.28,165.62,0.4277,0,correlation 0.43 <= 0.7
2,78.5210,9.7896,123.00,127.00,152.21,163.32,0.8641,0,centroids differ by 11.1 km
2,78.5795,9.8284,133.00,133.00,153.59,164.30,0.6821,0,correlation 0.68 <= 0.7
2,78.5410,9.7227,121.00,130.00,153.23,164.27,0.6756,0,correlation 0.68 <= 0.7
2,78.5697,9.7950,123.00,169.00,153.58,164.19,0.6654,0,correlation 0.67 <= 0.7
2,78.5758,9.8009,124.00,135.00,153.69,164.41,0.6539,0,correlation 0.65 <= 0.7
2,78.5076,9.7221,125.00,135.00,152.28,163.20,0.8874,0,centroids differ by 10.9 km
2,78.5021,9.7396,123.00,135.00,152.00,163.06,0.8885,0,NYA peak not clear against upper and lower means
2,78.5605,9.8587,123.00,169.00,152.88,163.41,0.7186,0,centroids differ by 10.5 km
2,78.5278,9.8442,119.00,131.00,152.02,163.17,0.8619,0,centroids differ by 11.1 km
2,78.4896,9.7903,124.00,127.00,151.25,164.38,0.8079,0,centroids differ by 13.1 km
2,78.5049,9.8423,121.00,121.00,151.38,163.29,0.8373,0,centroids differ by 11.9 km
2,78.5421,9.7812,119.00,126.00,152.88,163.90,0.7561,0,centroids differ by 11.0 km
2,78.5191,9.7232,125.00,147.00,152.61,163.82,0.8143,0,centroids differ by 11.2 km
2,78.5553,9.7351,123.00,181.00,153.63,164.35,0.6106,0,correlation 0.61 <= 0.7
2,78.4942,9.7519,123.00,127.00,151.65,163.44,0.9150,0,centroids differ by 11.8 km
2,78.5067,9.7668,123.00,133.00,151.95,163.03,0.8706,0,NYA peak not clear against upper and lower means
2,78.5336,9.7853,121.00,155.00,152.58,163.85,0.8069,0,centroids differ by 11.3 km
2,78.5402,9.7503,122.00,128.00,153.02,164.10,0.7325,0,centroids differ by 11.1 km
2,78.5725,9.8034,133.00,169.00,153.59,164.20,0.6686,0,correlation 0.67 <= 0.7
2,78.9075,11.7546,165.00,175.00,172.58,165.57,0.7219,0,centroids differ by 7.0 km
2,78.8941,11.7052,165.00,159.00,171.24,166.12,0.7354,0,centroids differ by 5.1 km
2,78.9205,11.7872,169.00,183.00,173.56,165.33,0.4504,0,correlation 0.45 <= 0.7
2,78.9215,11.7836,171.00,185.00,173.62,165.36,0.4516,0,correlation 0.45 <= 0.7
2,78.9001,11.7961,163.00,171.00,172.19,165.29,0.4728,0,correlation 0.47 <= 0.7
2,78.9072,11.7722,165.00,173.00,172.63,165.34,0.6435,0,correlation 0.64 <= 0.7
2,78.9015,11.8264,165.00,173.00,172.40,165.24,0.4047,0,correlation 0.40 <= 0.7
2,78.9279,11.8122,189.00,203.00,174.11,165.43,0.2406,0,correlation 0.24 <= 0.7
2,78.8985,11.7325,165.00,165.00,171.74,165.75,0.7849,0,centroids differ by 6.0 km
2,78.9287,11.7418,171.00,199.00,173.98,166.09,0.5269,0,correlation 0.53 <= 0.7
2,78.9125,11.7427,167.00,181.00,172.90,165.79,0.7334,0,centroids differ by 7.1 km
2,78.8628,11.7217,157.00,249.00,168.98,166.13,-0.1732,0,correlation -0.17 <= 0.7
2,78.8642,11.7829,158.00,249.00,169.19,166.18,-0.4272,0,correlation -0.43 <= 0.7
2,78.8834,11.7834,161.00,147.00,170.74,165.77,0.1153,0,correlation 0.12 <= 0.7
2,78.8557,11.7602,155.00,249.00,168.54,166.45,-0.4024,0,correlation -0.40 <= 0.7
2,78.8841,11.8217,161.00,153.00,171.02,165.75,0.1250,0,correlation 0.12 <= 0.7
2,78.8762,11.7242,161.00,139.00,169.94,165.89,0.1917,0,correlation 0.19 <= 0.7
2,78.9226,11.7324,169.00,191.00,173.57,166.10,0.6452,0,correlation 0.65 <= 0.7
2,78.9017,11.6973,165.00,167.00,171.82,166.42,0.7979,0,centroids differ by 5.4 km
2,78.8821,11.7924,161.00,143.00,170.69,165.82,0.0429,0,correlation 0.04 <= 0.7
2,78.8504,11.6922,153.00,249.00,167.77,166.38,-0.2911,0,correlation -0.29 <= 0.7
2,78.8503,11.7164,153.00,249.00,167.89,166.44,-0.2569,0,correlation -0.26 <= 0.7
2,78.8849,11.7298,163.00,149.00,170.62,165.76,0.5020,0,correlation 0.50 <= 0.7
2,78.8624,11.7437,157.00,249.00,169.00,166.15,-0.3044,0,correlation -0.30 <= 0.7
2,78.9414,11.7882,181.00,217.00,174.83,165.90,0.1918,0,correlation 0.19 <= 0.7
