iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.3359,1.8781,167.00,149.00,174.12,166.82,0.7744,0,centroids differ by 7.3 km
2,78.3732,1.8077,145.00,139.00,171.64,164.88,0.7148,0,centroids differ by 6.8 km
2,78.3404,1.8370,167.00,149.00,173.99,166.61,0.7815,0,centroids differ by 7.4 km
2,78.2893,1.8749,115.00,165.00,174.84,168.22,-0.6536,0,correlation -0.65 <= 0.7
2,78.3599,1.8651,153.00,141.00,172.68,165.70,0.7912,0,centroids differ by 7.0 km
2,78.3235,1.8401,174.29,167.00,174.61,167.14,0.6006,0,correlation 0.60 <= 0.7
2,78.3021,1.8159,100.00,163.00,174.92,167.87,-0.2351,0,correlation -0.24 <= 0.7
2,78.3612,1.8674,152.00,141.00,172.56,165.65,0.7881,0,centroids differ by 6.9 km
2,78.2879,1.8014,117.00,165.00,174.85,168.36,-0.6977,0,correlation -0.70 <= 0.7
2,78.4604,7.8817,127.00,115.00,155.30,160.72,0.7714,0,centroids differ by 5.4 km
2,78.4422,7.7913,127.00,118.00,155.79,162.15,0.8173,0,centroids differ by 6.4 km
2,78.5147,7.7799,135.00,80.00,158.12,160.44,0.7200,0,NYA peak not clear against upper and lower means
2,78.4914,7.8555,131.00,111.00,156.43,159.90,0.6755,0,correlation 0.68 <= 0.7
2,78.4906,7.7735,130.00,113.00,156.61,160.33,0.6881,0,correlation 0.69 <= 0.7
2,78.4779,7.7743,127.00,117.00,156.15,160.39,0.7087,0,centroids differ by 4.2 km
2,78.5007,7.7412,133.00,115.00,157.26,160.47,0.6950,0,correlation 0.70 <= 0.7
2,78.4987,7.8632,131.00,109.00,156.85,159.94,0.6733,0,correlation 0.67 <= 0.7
2,78.4724,7.7543,129.00,119.00,156.08,160.61,0.7196,0,centroids differ by 4.5 km
2,78.5019,7.7364,133.00,115.00,157.35,160.50,0.6975,0,correlation 0.70 <= 0.7
2,78.4924,7.8131,131.00,111.00,156.59,160.15,0.6836,0,correlation 0.68 <= 0.7
2,78.4495,7.7480,129.00,119.00,155.99,161.80,0.7781,0,centroids differ by 5.8 km
2,78.4545,7.7936,129.00,115.00,155.73,161.35,0.7732,0,centroids differ by 5.6 km
2,78.4822,7.8275,127.00,115.00,156.10,160.08,0.7004,0,centroids differ by 4.0 km
2,78.4856,7.7532,129.00,113.00,156.47,160.43,0.6888,0,correlation 0.69 <= 0.7
2,78.5056,7.7678,133.00,139.00,157.52,160.37,0.7003,0,centroids differ by 2.8 km
2,78.5216,7.7987,135.00,80.00,158.53,160.46,0.7324,0,NYA peak not clear against upper and lower means
