index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_median_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_median_km,nya_std_km,nya_sem_km,both_mean_km,both_median_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
5,greyscale,BACC_LYR_20200103_090006.png,BACC_NYA_20200103_090006.png,2020-01-03 09:00:06,76.6,78.6,8.0,18.0,9,140.7,140.0,13.9,4.6,130.7,140.0,33.2,11.1,135.7,140.0,25.2,5.9,134.0,140.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
5,RGBproduct,BACC_LYR_20200103_090006.png,BACC_NYA_20200103_090006.png,2020-01-03 09:00:06,76.6,78.6,8.0,18.0,8,139.2,139.0,14.0,4.9,135.0,145.0,36.5,12.9,137.1,140.0,26.8,6.7,152.0,138.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
6,greyscale,BACC_LYR_20200103_090007.png,BACC_NYA_20200103_090007.png,2020-01-03 09:00:07,76.6,78.6,8.0,18.0,11,148.0,148.0,22.1,6.7,134.5,144.0,36.3,10.9,141.3,145.0,30.1,6.4,138.0,146.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
6,RGBproduct,BACC_LYR_20200103_090007.png,BACC_NYA_20200103_090007.png,2020-01-03 09:00:07,76.6,78.6,8.0,18.0,10,144.8,143.0,12.4,3.9,131.8,142.0,30.6,9.7,138.3,142.0,23.7,5.3,138.0,144.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
7,greyscale,BACC_LYR_20200103_090008.png,BACC_NYA_20200103_090008.png,2020-01-03 09:00:08,76.6,78.6,8.0,18.0,8,136.5,141.0,17.0,6.0,142.8,150.0,20.4,7.2,139.6,146.0,18.4,4.6,146.0,150.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
7,RGBproduct,BACC_LYR_20200103_090008.png,BACC_NYA_20200103_090008.png,2020-01-03 09:00:08,76.6,78.6,8.0,18.0,6,137.0,137.0,15.3,6.3,133.7,144.0,32.5,13.3,135.3,138.0,24.3,7.0,148.0,150.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
8,greyscale,BACC_LYR_20200103_090009.png,BACC_NYA_20200103_090009.png,2020-01-03 09:00:09,76.6,78.6,8.0,18.0,14,160.3,155.0,27.5,7.4,153.9,158.0,30.2,8.1,157.1,157.0,28.5,5.4,150.0,158.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
8,RGBproduct,BACC_LYR_20200103_090009.png,BACC_NYA_20200103_090009.png,2020-01-03 09:00:09,76.6,78.6,8.0,18.0,12,152.7,152.0,27.8,8.0,149.5,151.0,25.3,7.3,151.1,152.0,26.1,5.3,150.0,156.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
9,greyscale,BACC_LYR_20200103_090010.png,BACC_NYA_20200103_090010.png,2020-01-03 09:00:10,76.6,78.6,8.0,18.0,15,150.8,148.0,26.9,6.9,145.3,156.0,33.7,8.7,148.1,151.0,30.1,5.5,150.0,162.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
9,RGBproduct,BACC_LYR_20200103_090010.png,BACC_NYA_20200103_090010.png,2020-01-03 09:00:10,76.6,78.6,8.0,18.0,10,143.4,143.0,18.9,6.0,141.2,150.0,28.0,8.9,142.3,147.0,23.3,5.2,150.0,146.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
10,greyscale,BACC_LYR_20200103_090011.png,BACC_NYA_20200103_090011.png,2020-01-03 09:00:11,76.6,78.6,8.0,18.0,9,155.8,154.0,25.3,8.4,136.0,154.0,38.1,12.7,145.9,154.0,33.0,7.8,142.0,162.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
10,RGBproduct,BACC_LYR_20200103_090011.png,BACC_NYA_20200103_090011.png,2020-01-03 09:00:11,76.6,78.6,8.0,18.0,8,153.8,150.0,26.2,9.3,133.0,150.0,39.6,14.0,143.4,150.0,34.2,8.5,154.0,160.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
11,greyscale,BACC_LYR_20200103_090012.png,BACC_NYA_20200103_090012.png,2020-01-03 09:00:12,76.6,78.6,8.0,18.0,6,155.7,146.0,50.2,20.5,143.3,165.0,50.1,20.4,149.5,156.0,48.2,13.9,148.0,172.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
11,RGBproduct,BACC_LYR_20200103_090012.png,BACC_NYA_20200103_090012.png,2020-01-03 09:00:12,76.6,78.6,8.0,18.0,4,145.0,144.0,7.4,3.7,110.0,107.0,35.0,17.5,127.5,139.0,30.0,10.6,154.0,146.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
12,greyscale,BACC_LYR_20200103_090013.png,BACC_NYA_20200103_090013.png,2020-01-03 09:00:13,76.6,78.6,8.0,18.0,7,186.9,182.0,27.8,10.5,168.9,182.0,39.6,15.0,177.9,182.0,34.2,9.1,182.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
